Logs 
Time || Action


[2025-07-04 | 21:00:13]||admin  Login SuccessFully 
[2025-07-04 | 21:00:54]||admin  Login SuccessFully 
[2025-07-04 | 21:03:55]||admin  Added aftab as a Manager
[2025-07-04 | 21:07:26]||admin  Login SuccessFully 
[2025-07-04 | 21:07:50]||admin  Login SuccessFully 
[2025-07-04 | 21:10:59]||admin  Login SuccessFully 
[2025-07-04 | 21:13:47]||admin  Login SuccessFully 
[2025-07-04 | 21:14:06]||SAD News admin  Removed aftab as a 'Manager'
[2025-07-04 | 21:23:48]||admin  Login SuccessFully 
[2025-07-04 | 21:24:24]||admin Viewed the Employ list
[2025-07-04 | 21:27:25]||admin  Login SuccessFully 
[2025-07-04 | 21:27:57]||Admin Changed the Chicken Stock 129
[2025-07-04 | 21:55:00]||admin  Login SuccessFully 
[2025-07-04 | 21:56:35]||admin  Login SuccessFully 
[2025-07-04 | 21:58:15]||admin  Login SuccessFully 
[2025-07-04 | 22:10:55]||admin  Login SuccessFully 
[2025-07-04 | 22:11:35]||admin  Added chef1 as a 'chef'
[2025-07-04 | 22:11:37]||admin Existed the Menu page 
[2025-07-04 | 22:12:25]||admin  Login SuccessFully 
[2025-07-04 | 22:14:17]||admin  Login SuccessFully 
[2025-07-04 | 22:14:49]||admin  Added chef2 as a 'chef'
[2025-07-04 | 22:16:55]||admin  Login SuccessFully 
[2025-07-04 | 22:17:39]||admin  Login SuccessFully 
[2025-07-04 | 22:18:25]||admin  Login SuccessFully 
[2025-07-04 | 22:19:30]||admin  Login SuccessFully 
[2025-07-04 | 22:20:20]||admin  Added managerNo1 as a 'manager'
[2025-07-04 | 22:24:29]||admin  Login SuccessFully 
[2025-07-04 | 22:24:48]||admin  Added ManagerNO3 as a 'manager'
[2025-07-04 | 22:25:21]||SAD News admin  Removed ManagerNO3 as a 'Manager'
[2025-07-04 | 22:33:06]||admin  Login SuccessFully 
[2025-07-04 | 22:33:21]||admin  Added ManagerNO3 as a 'Manager'
[2025-07-04 | 22:34:15]||admin Viewed the Employ list
[2025-07-04 | 22:35:00]||admin  Login SuccessFully 
[2025-07-04 | 22:38:08]||admin  Login SuccessFully 
[2025-07-04 | 22:38:12]||admin Viewed the Employ list
[2025-07-04 | 22:40:46]||admin  Login SuccessFully 
[2025-07-04 | 22:40:49]||admin Viewed the Employ list
[2025-07-04 | 22:43:56]||admin  Login SuccessFully 
[2025-07-04 | 22:43:58]||admin Viewed the Employ list
[2025-07-04 | 22:45:39]||admin  Login SuccessFully 
[2025-07-04 | 22:45:42]||admin Viewed the Employ list
[2025-07-04 | 22:46:50]||admin  Login SuccessFully 
[2025-07-04 | 22:46:56]||admin Viewed the Employ list
[2025-07-04 | 22:48:28]||admin  Login SuccessFully 
[2025-07-04 | 22:48:31]||admin Viewed the Employ list
[2025-07-04 | 22:49:20]||admin  Login SuccessFully 
[2025-07-04 | 22:50:04]||admin  Login SuccessFully 
[2025-07-04 | 22:50:35]||admin  Added moiz as a 'seller'
[2025-07-04 | 22:50:45]||admin Viewed the Employ list
[2025-07-04 | 22:51:53]||admin  Login SuccessFully 
[2025-07-04 | 22:52:17]||admin  Added Shahid as a 'chef'
[2025-07-04 | 22:52:19]||admin Viewed the Employ list
[2025-07-04 | 22:53:05]||admin  Login SuccessFully 
[2025-07-04 | 22:53:07]||admin Viewed the Employ list
[2025-07-04 | 22:53:27]||admin  Login SuccessFully 
[2025-07-04 | 22:53:29]||admin Viewed the Employ list
[2025-07-04 | 22:53:59]||admin  Login SuccessFully 
[2025-07-04 | 22:54:01]||admin Viewed the Employ list
[2025-07-04 | 22:56:16]||admin  Login SuccessFully 
[2025-07-04 | 22:56:22]||admin Viewed the Employ list
[2025-07-04 | 22:57:09]||admin  Login SuccessFully 
[2025-07-04 | 22:57:20]||admin Viewed the Employ list
[2025-07-04 | 23:00:11]||admin  Login SuccessFully 
[2025-07-04 | 23:00:14]||admin Viewed the Employ list
[2025-07-04 | 23:01:27]||admin  Login SuccessFully 
[2025-07-04 | 23:01:40]||admin Viewed the Employ list
[2025-07-04 | 23:03:35]||admin  Login SuccessFully 
[2025-07-04 | 23:03:41]||admin Viewed the Employ list
[2025-07-04 | 23:04:27]||admin  Login SuccessFully 
[2025-07-04 | 23:04:32]||admin Viewed the Employ list
[2025-07-04 | 23:07:21]||admin  Login SuccessFully 
[2025-07-04 | 23:07:41]||admin  Added moiz as a 'manager'
[2025-07-04 | 23:07:42]||admin Viewed the Employ list
[2025-07-04 | 23:07:52]||SAD News admin  Removed moiz as a 'manager'
[2025-07-04 | 23:08:25]||admin  Login SuccessFully 
[2025-07-04 | 23:11:30]||admin  Login SuccessFully 
[2025-07-04 | 23:11:32]||admin Viewed the Employ list
[2025-07-04 | 23:13:56]||admin  Login SuccessFully 
[2025-07-04 | 23:13:58]||admin Viewed the Employ list
[2025-07-04 | 23:15:02]||admin  Login SuccessFully 
[2025-07-04 | 23:15:04]||admin Viewed the Employ list
[2025-07-04 | 23:17:03]||admin  Login SuccessFully 
[2025-07-04 | 23:17:06]||admin Viewed the Employ list
[2025-07-04 | 23:18:14]||admin  Login SuccessFully 
[2025-07-04 | 23:18:15]||admin Viewed the Employ list
[2025-07-04 | 23:21:55]||admin  Login SuccessFully 
[2025-07-04 | 23:22:15]||admin  Added moiz as a 'seller'
[2025-07-04 | 23:22:40]||SAD News admin  Removed moiz as a 'seller'
[2025-07-04 | 23:27:00]||admin  Login SuccessFully 
[2025-07-04 | 23:27:00]||admin Visted the Menu page 
[2025-07-04 | 23:27:07]||admin Viewed the Logs 
[2025-07-04 | 23:28:28]||admin  Login SuccessFully 
[2025-07-04 | 23:28:28]||admin Visted the Menu page 
[2025-07-04 | 23:28:39]||admin Viewed the Employ list
[2025-07-04 | 23:28:44]||admin Viewed the Logs 
[2025-07-04 | 23:31:06]||admin  Login SuccessFully 
[2025-07-04 | 23:31:06]||admin Visted the Menu page 
[2025-07-04 | 23:32:23]||admin  Login SuccessFully 
[2025-07-04 | 23:32:23]||admin Visted the Menu page 
[2025-07-04 | 23:33:13]||admin  Login SuccessFully 
[2025-07-04 | 23:33:13]||admin Visted the Menu page 
[2025-07-04 | 23:33:15]||admin Viewed the Employ list
[2025-07-04 | 23:33:32]||SAD News admin  Removed ManagerNO3 as a 'Manager'
[2025-07-04 | 23:34:45]||admin  Added shadab as a 'seller'
[2025-07-04 | 23:34:54]||admin Existed the Menu page 
[2025-07-04 | 23:37:29]||admin  Login SuccessFully 
[2025-07-04 | 23:37:29]||admin Visted the Menu page 
[2025-07-04 | 23:37:41]||Admin Changed the Pasta Stock 34
[2025-07-04 | 23:37:45]||admin Existed the Menu page 
[2025-07-04 | 23:41:08]||admin  Login SuccessFully 
[2025-07-04 | 23:41:08]||admin Visted the Menu page 
[2025-07-04 | 23:41:27]||admin Viewed the Employ list
[2025-07-04 | 23:41:29]||admin Viewed the Employ list
[2025-07-04 | 23:41:38]||admin Viewed the Logs 
[2025-07-04 | 23:42:30]||admin  Login SuccessFully 
[2025-07-04 | 23:42:30]||admin Visted the Menu page 
[2025-07-04 | 23:42:34]||admin Viewed the Logs 
[2025-07-04 | 23:43:40]||admin  Login SuccessFully 
[2025-07-04 | 23:43:40]||admin Visted the Menu page 
[2025-07-04 | 23:43:43]||admin Viewed the Employ list
[2025-07-04 | 23:45:56]||admin  Login SuccessFully 
[2025-07-04 | 23:45:56]||admin Visted the Menu page 
[2025-07-04 | 23:46:00]||admin Viewed the Employ list
[2025-07-04 | 23:46:01]||admin Viewed the Logs 
[2025-07-04 | 23:46:03]||admin Existed the Menu page 
[2025-07-04 | 23:51:36]||admin  Login SuccessFully 
[2025-07-04 | 23:51:36]||admin Visted the Menu page 
[2025-07-04 | 23:51:38]||admin Viewed the Employ list
[2025-07-04 | 23:51:39]||admin Viewed the Logs 
[2025-07-04 | 23:51:41]||admin Existed the Menu page 
[2025-07-04 | 23:55:54]||admin  Login SuccessFully 
[2025-07-04 | 23:55:54]||admin Visted the Menu page 
[2025-07-04 | 23:55:59]||admin Viewed the Employ list
[2025-07-04 | 23:55:59]||admin Viewed the Logs 
[2025-07-04 | 23:56:04]||admin Existed the Menu page 
[2025-07-04 | 23:58:33]||admin  Login SuccessFully 
[2025-07-04 | 23:58:33]||admin Visted the Menu page 
[2025-07-04 | 23:59:07]||SAD News admin  Removed ManagerNO3 as a 'Manager'
[2025-07-04 | 23:59:25]||admin  Added Shadab as a 'Manager'
[2025-07-04 | 23:59:35]||admin Existed the Menu page 
[2025-07-05 | 00:40:58]||shadab  Attemped A log IN 
[2025-07-05 | 00:40:58]||  Invalid Password 
[2025-07-05 | 00:41:26]||managerNo1  Login SuccessFully 
[2025-07-05 | 00:41:26]||managerNo1  Login SuccessFully 
[2025-07-05 | 00:41:26]||managerNo1  Login In successfully 
[2025-07-05 | 00:41:52]||shadab  Attemped A log IN 
[2025-07-05 | 00:41:52]||managerNo1  Invalid Password 
[2025-07-05 | 00:46:06]||Shadab  Login SuccessFully 
[2025-07-05 | 00:46:06]||Shadab  Login SuccessFully 
[2025-07-05 | 00:46:06]||Shadab  Login In successfully 
[2025-07-05 | 00:50:22]||Shadab  Login SuccessFully 
[2025-07-05 | 00:50:22]||Shadab  Login SuccessFully 
[2025-07-05 | 00:50:22]||Shadab  Login In successfully 
[2025-07-05 | 00:51:17]||Shadab  Login SuccessFully 
[2025-07-05 | 00:51:17]||Shadab  Login SuccessFully 
[2025-07-05 | 00:52:10]||Shadab  Attemped A log IN 
[2025-07-05 | 00:52:10]||  Invalid Password 
[2025-07-05 | 00:52:48]||Shdab  Attemped A log IN 
[2025-07-05 | 00:52:48]||  Invalid Password 
[2025-07-05 | 00:53:15]||Shadab  Login SuccessFully 
[2025-07-05 | 00:53:15]||Shadab  Login SuccessFully 
[2025-07-05 | 00:54:59]||Shadab  Login SuccessFully 
[2025-07-05 | 00:54:59]||Shadab  Login SuccessFully 
[2025-07-05 | 00:55:33]||Shaddy  Attemped A log IN 
[2025-07-05 | 00:55:33]||  Invalid Password 
[2025-07-05 | 00:55:54]||Shadab  Login SuccessFully 
[2025-07-05 | 00:55:54]||Shadab  Login SuccessFully 
[2025-07-05 | 00:57:09]||Shadab  Login SuccessFully 
[2025-07-05 | 00:57:09]||Shadab  Login SuccessFully 
[2025-07-05 | 00:57:22]||shadab  Attemped A log IN 
[2025-07-05 | 00:57:22]||Shadab  Invalid Password 
[2025-07-05 | 00:58:28]||Shdab  Attemped A log IN 
[2025-07-05 | 00:58:28]||  Invalid Password 
[2025-07-05 | 00:58:43]||Shdan  Attemped A log IN 
[2025-07-05 | 00:58:43]||  Invalid Password 
[2025-07-05 | 00:59:00]||Shdab  Attemped A log IN 
[2025-07-05 | 00:59:00]||  Invalid Password 
[2025-07-05 | 00:59:09]||Shadab  Attemped A log IN 
[2025-07-05 | 00:59:09]||  Invalid Password 
[2025-07-05 | 00:59:30]||Shadab  Login SuccessFully 
[2025-07-05 | 00:59:30]||Shadab  Login SuccessFully 
[2025-07-05 | 01:00:39]||Shadab  Login SuccessFully 
[2025-07-05 | 01:00:39]||Shadab  Login SuccessFully 
[2025-07-05 | 01:02:09]||Shadab Added A New Item Having ID 2 With Name Burger Stock value 20
[2025-07-05 | 01:02:09]||Shadab Requesta a Chef Departnment for Recipe of this Item  With Name Burger Stock value 20
[2025-07-05 | 01:02:38]||Shadab Added A New Item Having ID 3 With Name Burger Stock value 20
[2025-07-05 | 01:02:38]||Shadab Requesta a Chef Departnment for Recipe of this Item  With Name Burger Stock value 20
[2025-07-05 | 01:03:04]||Shadab Added A New Item Having ID 4 With Name Biryani Stock value 15
[2025-07-05 | 01:03:04]||Shadab Requesta a Chef Departnment for Recipe of this Item  With Name Biryani Stock value 15
[2025-07-05 | 01:03:19]||Shadab Added A New Item Having ID 5 With Name pepsi Stock value 40
[2025-07-05 | 01:03:19]||Shadab Requesta a Chef Departnment for Recipe of this Item  With Name pepsi Stock value 40
[2025-07-05 | 01:03:58]||Shadab Added A New Item Having ID 6 With Name ZingerWrap Stock value 12
[2025-07-05 | 01:03:58]||Shadab Requesta a Chef Departnment for Recipe of this Item  With Name ZingerWrap Stock value 12
[2025-07-05 | 01:04:10]||Shadab Added A New Item Having ID 7 With Name Qorma Stock value 10
[2025-07-05 | 01:04:10]||Shadab Requesta a Chef Departnment for Recipe of this Item  With Name Qorma Stock value 10
[2025-07-05 | 01:04:21]||Shadab Added A New Item Having ID 8 With Name Sprite Stock value 35
[2025-07-05 | 01:04:21]||Shadab Requesta a Chef Departnment for Recipe of this Item  With Name Sprite Stock value 35
[2025-07-05 | 01:04:41]||Shadab  Login SuccessFully 
